stop_name,stop_lat,stop_lon
E Pine St & Broadway,47.615303,-122.321495
Boren Ave & Madison St,47.6090851,-122.325035
Boren Ave & Columbia St,47.6075935,-122.323669
Westlake Station - Bay D,47.6117249,-122.336716
E Pine St & Belmont Ave,47.6152954,-122.324776
Boren Ave & James St,47.6062164,-122.322411
Pine St & 5th Ave,47.6117668,-122.336456
E Pine St & Bellevue Ave,47.6152992,-122.327271
Pike St & Convention Pl,47.6123009,-122.331497
Pike St & Boren Ave,47.6135788,-122.328445
E Pine St & Summit Ave,47.6151505,-122.325256
E Pine St & Harvard Ave,47.6151619,-122.321617
Broadway & E Howell St,47.6181564,-122.320747
Broadway  E & E John St,47.6201553,-122.32077
Broadway  E & E Harrison St,47.6221962,-122.320816
10th Ave E & E Mercer St,47.623951,-122.319992
Pine St & 4th Ave,47.6111031,-122.338028
Broadway  E & E Mercer St,47.6246109,-122.320839
Westlake Station & Pine St - 3rd 4th & 5th Avenue - Bay A,47.6118011,-122.335823
10th Ave E & E Prospect St,47.6288605,-122.320114
10th Ave E & E Galer St,47.6322136,-122.320099
10th Ave E & E Howe St,47.6361618,-122.319992
10th Ave E & E Miller St,47.641571,-122.319969
Pine St & 2nd Ave,47.6101646,-122.340279
E Roanoke St & Broadway  E,47.643261,-122.320747
Harvard Ave E & E Shelby St,47.64711,-122.321999
15th Ave NE & NE 42nd St,47.6586685,-122.311905
NE 45th St & Brooklyn Ave NE,47.6613464,-122.313889
15th Ave E & E Galer St,47.6323891,-122.312607
15th Ave E & E Prospect St,47.628479,-122.312668
15th Ave E & E Aloha St,47.6266823,-122.312668
15th Ave E & E Roy St,47.6250267,-122.312698
15th Ave E & E Mercer St,47.62397,-122.312714
15th Ave E & E Republican St,47.6228943,-122.312737
E Pine St & 15th Ave,47.6153564,-122.313148
E Pine St & 13th Ave,47.6153374,-122.31591
E Pine St & 11th Ave,47.6153183,-122.318489
E Pine St & 10th Ave,47.615181,-122.319092
E Pine St & 12th Ave,47.6152,-122.316498
E Pine St & 15th Ave,47.6152115,-122.312286
15th Ave E & E Harrison St,47.62257,-122.312538
15th Ave E & E Roy St,47.6254234,-122.312492
15th Ave E & E Aloha St,47.6270981,-122.312469
15th Ave E & E Prospect St,47.6289024,-122.312454
15th Ave E & E Highland Dr,47.6308327,-122.312424
Grandview Pl E & E Galer St,47.6325226,-122.311821
Grandview Pl E & E Garfield St,47.634079,-122.311798
Mount Rainier Dr S & S Hanford St,47.5756569,-122.284843
Mount Rainier Dr S & S Ridgeway Pl,47.5766449,-122.286415
S Mcclellan St & Lake Park Dr S,47.5784073,-122.288605
S Mcclellan St & 31st Ave S,47.5784111,-122.292671
31st Ave S & S Lander St,47.5798607,-122.292908
31st Ave S & S College St,47.5827065,-122.292908
31st Ave S & S Plum St,47.5851021,-122.292908
31st Ave S & S Massachusetts St,47.5881615,-122.292442
Pike St & 4th Ave,47.6101341,-122.336685
31st Ave S & S Day St,47.5905342,-122.292305
31st Ave S & S Norman St,47.5935059,-122.292656
31st Ave S & S Dearborn St,47.5959206,-122.292603
31st Ave S & S King St,47.597908,-122.292519
S Jackson St & 30th Ave S,47.5992508,-122.29364
S Jackson St & 28th Ave S,47.5992851,-122.296112
S Jackson St & Martin L King Jr Way S,47.5993042,-122.297752
Pike St & 6th Ave,47.6110344,-122.334526
S Jackson St & 23rd Ave S,47.5993462,-122.302032
Convention Place Tunnel Station - Bay A,47.6139412,-122.33152
S Jackson St & 20th Pl S,47.5993347,-122.304642
S Jackson St & 18th Ave S,47.5993042,-122.309349
S Jackson St & Rainier Ave S,47.5991402,-122.313576
S Jackson St & 18th Ave S,47.5991669,-122.309738
S Jackson St & 20th Ave S,47.5991898,-122.305992
S Jackson St & 23rd Ave S,47.5992126,-122.301636
S Jackson St & 28th Ave S,47.5991478,-122.295952
S Jackson St & 30th Ave S,47.5991173,-122.29348
31st Ave S & S King St,47.597744,-122.29274
31st Ave S & S Dearborn St,47.5955124,-122.292809
31st Ave S & S Norman St,47.5930748,-122.292877
Convention Pl & Union St,47.6111259,-122.331779
31st Ave S & S Irving St,47.5909729,-122.292496
31st Ave S & S Massachusetts St,47.5878716,-122.292648
31st Ave S & S Plum St,47.5849571,-122.293098
31st Ave S & S Walker St,47.5834236,-122.293098
Union St & 6th Ave,47.6100769,-122.333923
31st Ave S & S Lander St,47.579422,-122.293106
S Mcclellan St & 31st Ave S,47.5782738,-122.292587
S Mcclellan St & S Mount Baker Blvd,47.5782738,-122.288696
Mount Rainier Dr S & 37th Pl S,47.5765457,-122.286552
E Mcgilvra St & 42nd Ave E,47.6407738,-122.27829
42nd Ave E & E Lynn St,47.6388626,-122.278534
42nd Ave E & E Newton St,47.6367264,-122.278564
42nd Ave E & E Madison St,47.6356049,-122.278572
E Madison St & 41st Ave E,47.6346397,-122.279846
E Madison St & E Garfield St,47.6334572,-122.281609
E Madison St & 38th Ave E,47.6317902,-122.284065
E Madison St & 36th Ave E,47.6299744,-122.286743
E Madison St & 34th Ave E,47.6289024,-122.288345
Union St & 4th Ave,47.6091309,-122.336182
E Madison St & Lake Washington Blvd,47.6259193,-122.292725
E Madison St & 28th Ave E,47.6231651,-122.296799
E Madison St & 25th Ave E,47.6208687,-122.300186
E Madison St & 23rd Ave E,47.6192856,-122.302536
E Madison St & 22nd Ave E,47.6182976,-122.303986
E Madison St & 20th Ave,47.6173515,-122.306129
E Madison St & 19th Ave,47.6166191,-122.307877
E Madison St & 17th Ave,47.6155205,-122.310516
E Madison St & 15th Ave,47.6143608,-122.313316
E Madison St & 15th Ave,47.6145515,-122.312454
E Madison St & 17th Ave,47.6154594,-122.310265
E Madison St & 18th Ave,47.6161728,-122.308563
E Madison St & 20th Ave,47.617363,-122.305702
E Madison St & 22nd Ave,47.6181717,-122.303886
E Madison St & 23rd Ave E,47.6192589,-122.302277
E Madison St & 25th Ave E,47.6210938,-122.299561
E Madison St & 27th Ave E,47.6224899,-122.297508
E Madison St & 29th Ave E,47.6240654,-122.295189
E Madison St & Lake Washington Blvd,47.626152,-122.292099
E Madison St & 33rd Ave E,47.6281853,-122.289093
E Madison St & 36th Ave E,47.6299477,-122.286499
E Madison St & 38th Ave E,47.6315384,-122.284149
E Madison St & 39th Ave E,47.6324272,-122.282837
E Madison St & 41st Ave E,47.6344032,-122.279915
43rd Ave E & E Blaine St,47.6348839,-122.277046
43rd Ave E & E Madison St,47.636631,-122.277016
43rd Ave E & E Lynn St,47.6390877,-122.276993
Martin L King Jr Way S & S Judkins St,47.59161,-122.297646
Martin L King Jr Way S & S Hill St,47.584259,-122.298248
S Walker St & 25th Ave S,47.5837135,-122.299629
Martin L King Jr Way S & S Bayview St,47.5810013,-122.296921
Martin L King Jr Way S & S Massachusetts St,47.5878944,-122.298164
S Plum St & 25th Ave S,47.5854111,-122.300079
Martin L King Jr Way S & S Massachusetts St,47.5886765,-122.297836
Seneca St & 4th Ave,47.6074219,-122.33461
26th Ave S & S Norman St,47.5931664,-122.298958
23rd Ave S & S Lane St,47.5967102,-122.302124
23rd Ave S & S Jackson St,47.5996933,-122.302139
23rd Ave & E Yesler Way,47.6018944,-122.302292
